run,fitness,n_evaluations,experiment_id
0,4400,9600,10
1,11000,8100,10
2,8800,9500,10
3,8800,12200,10
4,8800,11300,10
5,4400,11800,10
6,356,18800,10
7,359,17400,10
8,2200,13000,10
9,8800,10600,10
10,363,14000,10
11,2200,12100,10
12,4400,10700,10
13,359,18700,10
14,363,15100,10
15,362,15400,10
16,2200,10900,10
17,13200,8300,10
18,362,15100,10
19,2200,9300,10
20,366,11500,10
21,2200,13200,10
22,4400,13200,10
23,4400,11900,10
24,2200,11200,10
25,366,13800,10
26,4400,7900,10
27,2200,11400,10
28,2200,9900,10
29,4400,12700,10
30,2200,10600,10
