run,fitness,n_evaluations,experiment_id
0,10800,3600,9
1,8640,4900,9
2,10800,3100,9
3,17280,4100,9
4,10800,4450,9
5,19440,3150,9
6,15120,3150,9
7,6480,3650,9
8,34560,2300,9
9,6480,3600,9
10,15120,4400,9
11,6480,3950,9
12,10800,3650,9
13,8640,4500,9
14,21600,3250,9
15,12960,3200,9
16,6480,4100,9
17,23760,3050,9
18,19440,3050,9
19,6480,3550,9
20,12960,3250,9
21,21600,3150,9
22,19440,3450,9
23,17280,4300,9
24,25920,2950,9
25,4320,4400,9
26,6480,4850,9
27,12960,3300,9
28,6480,4850,9
29,25920,2500,9
30,17280,2950,9
