run,fitness,n_evaluations,experiment_id
0,9600,3200,8
1,277,6100,8
2,9600,3600,8
3,11520,2850,8
4,9600,2850,8
5,3840,4100,8
6,13440,3450,8
7,1920,3800,8
8,11520,2800,8
9,11520,2850,8
10,5760,4000,8
11,3840,4000,8
12,5760,3650,8
13,7680,3550,8
14,3840,3150,8
15,7680,4000,8
16,3840,3600,8
17,13440,3500,8
18,1920,3900,8
19,11520,3050,8
20,5760,4250,8
21,11520,3700,8
22,3840,4150,8
23,13440,3550,8
24,13440,2700,8
25,9600,4600,8
26,3840,3400,8
27,17280,3050,8
28,1920,3750,8
29,7680,3650,8
30,269,6850,8
