run,fitness,n_evaluations,experiment_id
0,1200,740,3
1,600,880,3
2,600,960,3
3,1800,620,3
4,2400,760,3
5,1200,720,3
6,1200,620,3
7,1800,680,3
8,2400,660,3
9,1200,640,3
10,1200,780,3
11,3000,480,3
12,1200,720,3
13,1800,660,3
14,1800,660,3
15,1800,780,3
16,1200,880,3
17,600,940,3
18,1200,920,3
19,1200,820,3
20,600,1020,3
21,600,1160,3
22,2400,720,3
23,1200,620,3
24,106,2040,3
25,112,1300,3
26,1800,680,3
27,1800,760,3
28,1800,780,3
29,2400,620,3
30,106,1520,3
