run,fitness,n_evaluations,experiment_id
0,96.000001,500,2
1,96.000001,850,2
2,96.000001,560,2
3,95.000001,990,2
4,96.000001,900,2
5,96.000001,620,2
6,95.000001,640,2
7,96.000001,620,2
8,96.000001,650,2
9,96.000001,550,2
10,96.000001,520,2
11,96.000001,760,2
12,96.000001,530,2
13,95.000001,670,2
14,96.000001,620,2
15,95.000001,900,2
16,96.000001,540,2
17,96.000001,560,2
18,96.000001,620,2
19,96.000001,530,2
20,95.000001,1130,2
21,96.000001,960,2
22,96.000001,660,2
23,96.000001,660,2
24,96.000001,500,2
25,96.000001,610,2
26,95.000001,920,2
27,96.000001,630,2
28,95.000001,1030,2
29,96.000001,510,2
30,95.000001,620,2
