run,fitness,n_evaluations,experiment_id
0,210.000001,520,8
1,210.000001,540,8
2,218.000001,540,8
3,216.00000100000003,540,8
4,210.000001,640,8
5,213.00000100000003,550,8
6,210.000001,520,8
7,213.00000100000003,510,8
8,213.00000100000003,520,8
9,206.000001,550,8
10,204.000001,560,8
11,210.000001,520,8
12,215.000001,520,8
13,207.00000100000003,520,8
14,208.00000100000003,520,8
15,212.00000099999997,510,8
16,207.00000100000003,550,8
17,212.00000099999997,580,8
18,215.000001,530,8
19,214.000001,540,8
20,212.00000099999997,560,8
21,215.000001,510,8
22,212.00000099999997,650,8
23,214.000001,580,8
24,203.000001,560,8
25,215.000001,520,8
26,215.000001,600,8
27,211.000001,570,8
28,214.000001,510,8
29,207.00000100000003,570,8
30,209.00000099999997,520,8
