run,fitness,n_evaluations,experiment_id
0,301.000001,4200,10
1,299.000001,3950,10
2,305.000001,3100,10
3,304.000001,2650,10
4,299.000001,3250,10
5,303.000001,5400,10
6,300.000001,3300,10
7,301.000001,6300,10
8,302.000001,3650,10
9,304.000001,3700,10
10,299.000001,4800,10
11,303.000001,4550,10
12,298.000001,4200,10
13,301.000001,7600,10
14,302.000001,5000,10
15,298.000001,3700,10
16,295.000001,6300,10
17,300.000001,5100,10
18,294.000001,4850,10
19,304.000001,3150,10
20,305.000001,3500,10
21,304.000001,4650,10
22,302.000001,4350,10
23,305.000001,4400,10
24,304.000001,2950,10
25,306.000001,2850,10
26,305.000001,3250,10
27,298.000001,5300,10
28,305.000001,2950,10
29,302.000001,9800,10
30,301.000001,3450,10
