run,fitness,n_evaluations,experiment_id
0,99.000001,530,3
1,102.000001,630,3
2,94.000001,520,3
3,100.000001,520,3
4,99.000001,540,3
5,100.000001,520,3
6,101.000001,550,3
7,99.000001,550,3
8,97.000001,510,3
9,100.000001,550,3
10,100.000001,550,3
11,101.000001,550,3
12,99.000001,550,3
13,97.000001,570,3
14,97.000001,510,3
15,100.000001,530,3
16,102.000001,540,3
17,98.000001,570,3
18,101.000001,580,3
19,101.000001,510,3
20,101.000001,560,3
21,95.000001,520,3
22,95.000001,540,3
23,100.000001,560,3
24,100.000001,560,3
25,102.000001,540,3
26,101.000001,530,3
27,99.000001,650,3
28,102.000001,520,3
29,98.000001,550,3
30,102.000001,580,3
