run,fitness,n_evaluations,experiment_id
0,134.000001,560,7
1,136.000001,700,7
2,136.000001,560,7
3,135.000001,520,7
4,135.000001,520,7
5,136.000001,630,7
6,134.000001,570,7
7,135.000001,600,7
8,134.000001,550,7
9,135.000001,580,7
10,133.000001,580,7
11,134.000001,560,7
12,135.000001,630,7
13,131.000001,600,7
14,137.000001,590,7
15,135.000001,580,7
16,136.000001,670,7
17,137.000001,580,7
18,136.000001,640,7
19,135.000001,610,7
20,133.000001,580,7
21,135.000001,650,7
22,135.000001,580,7
23,133.000001,550,7
24,135.000001,620,7
25,133.000001,590,7
26,132.000001,570,7
27,134.000001,590,7
28,132.000001,520,7
29,135.000001,530,7
30,132.000001,610,7
