run,fitness,n_evaluations,experiment_id
0,101.000001,520,5
1,100.000001,530,5
2,97.000001,530,5
3,101.000001,610,5
4,102.000001,590,5
5,101.000001,510,5
6,101.000001,520,5
7,98.000001,540,5
8,101.000001,510,5
9,101.000001,550,5
10,96.000001,530,5
11,102.000001,590,5
12,103.00000100000001,510,5
13,100.000001,540,5
14,101.000001,630,5
15,98.000001,610,5
16,101.000001,520,5
17,100.000001,530,5
18,100.000001,530,5
19,100.000001,590,5
20,96.000001,580,5
21,100.000001,520,5
22,98.000001,590,5
23,100.000001,570,5
24,101.000001,620,5
25,99.000001,530,5
26,100.000001,520,5
27,99.000001,630,5
28,102.000001,580,5
29,100.000001,560,5
30,100.000001,530,5
