run,fitness,n_evaluations,experiment_id
0,29.000001,900,1
1,29.000001,730,1
2,30.000001000000005,520,1
3,30.000001000000005,560,1
4,29.000001,930,1
5,29.000001,770,1
6,30.000001000000005,530,1
7,29.000001,600,1
8,29.000001,930,1
9,29.000001,900,1
10,29.000001,940,1
11,30.000001000000005,660,1
12,29.000001,1070,1
13,30.000001000000005,580,1
14,30.000001000000005,640,1
15,30.000001000000005,540,1
16,29.000001,940,1
17,29.000001,610,1
18,29.000001,690,1
19,30.000001000000005,600,1
20,30.000001000000005,570,1
21,29.000001,560,1
22,30.000001000000005,630,1
23,29.000001,1080,1
24,30.000001000000005,530,1
25,30.000001000000005,590,1
26,30.000001000000005,540,1
27,30.000001000000005,580,1
28,30.000001000000005,660,1
29,30.000001000000005,520,1
30,29.000001,1000,1
