run,fitness,n_evaluations,experiment_id
0,105.00000099999998,630,6
1,102.000001,1050,6
2,103.00000100000001,740,6
3,104.000001,970,6
4,102.000001,860,6
5,103.00000100000001,1170,6
6,101.000001,620,6
7,103.00000100000001,1220,6
8,101.000001,900,6
9,103.00000100000001,690,6
10,103.00000100000001,650,6
11,104.000001,910,6
12,103.00000100000001,570,6
13,103.00000100000001,1050,6
14,102.000001,790,6
15,103.00000100000001,1010,6
16,102.000001,760,6
17,104.000001,710,6
18,100.000001,1500,6
19,103.00000100000001,650,6
20,104.000001,1030,6
21,104.000001,710,6
22,104.000001,880,6
23,100.000001,760,6
24,101.000001,910,6
25,102.000001,590,6
26,101.000001,1330,6
27,103.00000100000001,840,6
28,101.000001,690,6
29,102.000001,690,6
30,99.000001,720,6
