run,fitness,n_evaluations,experiment_id
0,120.000001,590,4
1,124.00000099999998,630,4
2,121.000001,590,4
3,118.000001,610,4
4,121.000001,700,4
5,123.000001,620,4
6,123.000001,700,4
7,121.000001,690,4
8,123.000001,640,4
9,121.000001,660,4
10,121.000001,650,4
11,120.000001,810,4
12,124.00000099999998,550,4
13,122.00000099999998,610,4
14,122.00000099999998,770,4
15,123.000001,850,4
16,124.00000099999998,570,4
17,124.00000099999998,580,4
18,122.00000099999998,520,4
19,122.00000099999998,980,4
20,121.000001,720,4
21,121.000001,600,4
22,123.000001,650,4
23,119.00000100000001,570,4
24,123.000001,520,4
25,121.000001,710,4
26,118.000001,930,4
27,124.00000099999998,590,4
28,124.00000099999998,540,4
29,124.00000099999998,610,4
30,120.000001,600,4
